Platform,Year_of_Release,Genre,Publisher,Global_Sales,Critic_Score,User_Score,Developer,Rating
DS,2007.0,Role-Playing,Disney Interactive Studios,0.74,63.0,7.9,Jupiter Corporation,E
PS3,2009.0,Action,Electronic Arts,0.74,67.0,7.2,EA Redwood Shores,M
PSP,2006.0,Fighting,Midway Games,0.74,70.0,8.8,JGI Entertainment,M
PSP,2009.0,Racing,Electronic Arts,0.74,69.0,6.5,EA Bright Light,E
X360,2014.0,Role-Playing,Namco Bandai Games,0.74,91.0,7.9,From Software,T
DS,2008.0,Sports,Sega,0.74,65.0,7.5,Sumo Digital,E
PC,2011.0,Action,Ubisoft,0.74,80.0,7.4,Ubisoft Montreal,M
PS3,2012.0,Action,Activision,0.74,79.0,6.8,Radical Entertainment,M
XB,2005.0,Racing,Take-Two Interactive,0.74,84.0,7.4,Rockstar San Diego,E10+
PS3,2013.0,Action,Capcom,0.74,74.0,7.2,Capcom,M
PSP,2007.0,Shooter,Ubisoft,0.74,60.0,7.1,Ubisoft Montreal,T
PS2,2001.0,Sports,Electronic Arts,0.74,74.0,7.5,Stormfront Studios,E
PS3,2009.0,Shooter,THQ,0.74,85.0,8.1,Volition Inc.,M
PS3,2011.0,Action,Namco Bandai Games,0.74,77.0,6.7,Project Aces,T
XB,2002.0,Shooter,Atari,0.74,83.0,8.2,Digital Extremes,M
PC,2011.0,Action,Electronic Arts,0.74,86.0,6.8,Crytek,M
X360,2008.0,Role-Playing,Atari,0.74,79.0,8.2,Bandai Namco Games,T
PS3,2013.0,Sports,Sony Computer Entertainment,0.74,87.0,7.8,SCEA San Diego Studios,E
WiiU,2013.0,Action,Warner Bros. Interactive Entertainment,0.74,82.0,8.0,TT Games,E10+
Wii,2007.0,Misc,Atari,0.74,49.0,6.3,TOSE,E
GBA,2003.0,Role-Playing,Nintendo,0.74,72.0,8.3,Brownie Brown,E
PS3,2009.0,Role-Playing,Activision,0.73,74.0,7.3,Vicarious Visions,T
PC,2014.0,Role-Playing,Electronic Arts,0.73,85.0,5.9,BioWare,M
PS3,2010.0,Role-Playing,Sega,0.73,72.0,8.0,Tri-Ace,T
DS,2008.0,Action,Activision,0.73,55.0,7.5,Amaze Entertainment,E
PS3,2007.0,Action,Disney Interactive Studios,0.73,55.0,6.9,Eurocom Entertainment Software,T
PS3,2007.0,Sports,Electronic Arts,0.73,79.0,6.6,EA Salt Lake,E
GBA,2004.0,Platform,Nintendo,0.73,55.0,4.8,Nintendo,E
Wii,2008.0,Simulation,Rising Star Games,0.73,76.0,8.9,Natsume,E
Wii,2009.0,Fighting,THQ,0.73,78.0,7.7,Yuke's,T
3DS,2012.0,Simulation,Nintendo,0.73,76.0,8.0,syn Sophia,E
X360,2011.0,Role-Playing,Square Enix,0.73,79.0,6.3,Square Enix,T
XB,2001.0,Platform,Atari,0.73,80.0,8.7,Oddworld Inhabitants,T
PS3,2012.0,Fighting,Atlus,0.73,86.0,7.7,Arc System Works,T
PS3,2011.0,Shooter,Bethesda Softworks,0.73,72.0,5.8,Splash Damage,T
X360,2010.0,Sports,Electronic Arts,0.73,88.0,7.7,Electronic Arts,E10+
X360,2006.0,Sports,Electronic Arts,0.73,79.0,6.9,EA Sports,E
XB,2004.0,Strategy,THQ,0.73,84.0,8.7,Pandemic Studios,M
PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.73,71.0,7.0,TT Games,E10+
PS2,2004.0,Puzzle,Namco Bandai Games,0.73,86.0,9.0,Namco,E
WiiU,2014.0,Misc,Ubisoft,0.73,75.0,6.6,Ubisoft,E10+
PS4,2015.0,Action,Warner Bros. Interactive Entertainment,0.73,80.0,7.1,Traveller's Tales,E10+
PS3,2012.0,Fighting,Namco Bandai Games,0.73,74.0,7.1,"CyberConnect2, Racjin",T
PS2,2001.0,Sports,Codemasters,0.73,64.0,8.7,Dearsoft,E
GC,2002.0,Shooter,Electronic Arts,0.72,74.0,6.8,Electronic Arts,T
DS,2007.0,Simulation,Rising Star Games,0.72,65.0,7.0,TOSE,E
GBA,2005.0,Action,Ubisoft,0.72,73.0,7.5,Ubisoft,E10+
PS2,2005.0,Action,Activision,0.72,74.0,7.9,Treyarch,T
Wii,2010.0,Misc,Electronic Arts,0.72,65.0,5.2,Electronic Arts,E
DS,2009.0,Platform,Ubisoft,0.72,70.0,7.5,Ubisoft Montpellier,E
PC,2013.0,Strategy,Sega,0.72,76.0,4.2,Creative Assembly,T
PS2,2007.0,Sports,Electronic Arts,0.72,68.0,6.6,EA Canada,E
PS3,2010.0,Role-Playing,Square Enix,0.72,74.0,6.7,"Square Enix, Tri-Ace",T
XB,2002.0,Shooter,Electronic Arts,0.72,73.0,8.9,Namco,M
Wii,2009.0,Action,Activision,0.72,55.0,7.0,Artificial Mind and Movement,T
PS2,2006.0,Sports,Electronic Arts,0.72,79.0,6.0,EA Redwood Shores,E
X360,2007.0,Sports,Spike,0.72,79.0,7.1,Kush Games,E
3DS,2014.0,Role-Playing,Nippon Ichi Software,0.72,83.0,8.1,Atlus,M
PS4,2014.0,Sports,Sony Computer Entertainment America,0.72,83.0,7.7,SCEA San Diego Studios,E
PS,2001.0,Fighting,Activision,0.72,72.0,8.4,Paradox Development,T
DS,2005.0,Platform,Nintendo,0.72,86.0,8.2,HAL Labs,E
Wii,2009.0,Sports,Electronic Arts,0.72,77.0,7.2,EA Tiburon,E
PS3,2009.0,Sports,Sony Computer Entertainment,0.72,90.0,8.1,SCEA San Diego Studios,E
X360,2014.0,Shooter,Take-Two Interactive,0.72,74.0,6.4,2K Australia,M
GBA,2002.0,Puzzle,Atari,0.72,82.0,8.6,Realism Ltd,E
PC,2015.0,Role-Playing,Namco Bandai Games,0.72,93.0,9.3,CD Projekt Red Studio,M
X360,2011.0,Racing,Codemasters,0.72,84.0,7.1,Codemasters,E
PS2,2003.0,Simulation,Namco Bandai Games,0.72,66.0,8.5,Bandai,T
PS3,2010.0,Sports,Sony Computer Entertainment,0.72,91.0,8.3,SCEA,E
X360,2009.0,Racing,THQ,0.72,75.0,6.6,Rainbow Studios,E
PS3,2010.0,Racing,Activision,0.72,81.0,8.2,Bizarre Creations,E10+
PC,2010.0,Shooter,Electronic Arts,0.72,87.0,8.3,EA DICE,M
X360,2011.0,Racing,Codemasters,0.72,87.0,7.1,Codemasters,T
XB,2002.0,Action,Electronic Arts,0.71,79.0,8.1,Stormfront Studios,T
XB,2002.0,Sports,Electronic Arts,0.71,92.0,8.3,EA Tiburon,E
X360,2007.0,Sports,Electronic Arts,0.71,86.0,8.4,EA Black Box,T
PC,2012.0,Strategy,Take-Two Interactive,0.71,89.0,8.2,Firaxis Games,M
PSP,2007.0,Action,D3Publisher,0.71,60.0,7.2,High Voltage Software,E10+
PS2,2003.0,Fighting,Sega,0.71,93.0,9.0,Sega,T
PC,2007.0,Shooter,Electronic Arts,0.71,91.0,8.0,Crytek,M
PS,2000.0,Action,Eidos Interactive,0.71,39.0,7.0,Capcom,M
DS,2007.0,Simulation,Electronic Arts,0.71,66.0,4.0,Full Fat,E
PS2,2002.0,Racing,Jester Interactive,0.71,66.0,7.5,Jester Interactive,E
GC,2002.0,Fighting,Atari,0.71,73.0,7.8,"Pipeworks Software, Inc.",T
PS,2000.0,Racing,Acclaim Entertainment,0.71,43.0,7.5,Acclaim,E
PS2,2003.0,Action,Konami Digital Entertainment,0.71,85.0,8.8,KCET,M
GC,2002.0,Platform,Universal Interactive,0.71,48.0,5.1,Equinoxe,E
GBA,2004.0,Action,THQ,0.71,46.0,7.5,Altron,E
PS2,2004.0,Action,THQ,0.71,49.0,6.2,Pacific Coast Power & Light,E
PSP,2007.0,Sports,Electronic Arts,0.71,75.0,6.8,EA Tiburon,E
PSP,2008.0,Sports,Electronic Arts,0.71,68.0,6.5,EA Tiburon,E
X360,2008.0,Sports,Electronic Arts,0.71,77.0,7.4,EA Canada,E
PS4,2016.0,Action,Namco Bandai Games,0.71,73.0,7.8,Dimps Corporation,T
PS3,2007.0,Action,Tecmo Koei,0.71,59.0,7.3,"Koei, Omega Force",T
X360,2008.0,Sports,Electronic Arts,0.71,83.0,7.7,EA Tiburon,E
XB,2005.0,Shooter,Activision,0.71,77.0,7.9,"id Software, Nerve Software",M
X360,2012.0,Sports,Electronic Arts,0.7,82.0,6.4,EA Canada,E
Wii,2007.0,Role-Playing,Square Enix,0.7,65.0,5.9,"Eighting, Genius Sonority Inc.",T
X360,2007.0,Role-Playing,SouthPeak Games,0.7,50.0,5.5,Reality Pump,M
GC,2003.0,Sports,Activision,0.7,89.0,8.5,Neversoft Entertainment,T
PSP,2005.0,Action,Activision,0.7,67.0,6.9,Vicarious Visions,T
X360,2007.0,Sports,Electronic Arts,0.7,81.0,7.8,EA Sports,E
WiiU,2014.0,Action,Activision,0.7,86.0,7.1,Toys for Bob,E10+
XB,2001.0,Action,Activision,0.7,58.0,5.9,LucasArts,T
DS,2009.0,Adventure,Capcom,0.7,78.0,8.4,Capcom,T
PS2,2003.0,Shooter,Sony Computer Entertainment,0.7,73.0,8.3,Namco,T
PS3,2011.0,Adventure,Deep Silver,0.7,79.0,8.1,Atlus,M
GC,2004.0,Sports,Electronic Arts,0.7,90.0,7.5,EA Tiburon,E
GBA,2001.0,Action,Majesco Entertainment,0.7,67.0,7.5,Virtucraft,E
PS2,2001.0,Racing,Atari,0.7,84.0,8.2,Rainbow Studios,E
XB,2005.0,Role-Playing,Microsoft Game Studios,0.7,89.0,8.6,BioWare,M
X360,2008.0,Role-Playing,Square Enix,0.7,68.0,7.0,Tri-Ace,T
DS,2010.0,Sports,Electronic Arts,0.7,63.0,7.5,EA Sports,E
PS4,2016.0,Action,Warner Bros. Interactive Entertainment,0.7,78.0,7.5,TT Games,E10+
X360,2011.0,Sports,Electronic Arts,0.7,86.0,7.0,Electronic Arts,E10+
GBA,2001.0,Strategy,Nintendo,0.7,92.0,9.0,Intelligent Systems,E
PS2,2000.0,Racing,Electronic Arts,0.7,66.0,6.6,EA Sports,E
PS2,2004.0,Action,Illusion Softworks,0.7,65.0,7.6,Illusion Softworks,M
PSP,2005.0,Platform,Sony Computer Entertainment,0.7,66.0,6.4,"SCEA, Sims",E
PS2,2000.0,Simulation,Namco Bandai Games,0.7,58.0,8.1,Bandai,T
PS3,2008.0,Sports,Sony Computer Entertainment,0.7,85.0,8.7,SCEA San Diego Studios,E
PS2,2002.0,Shooter,Eidos Interactive,0.7,90.0,8.8,Free Radical Design,T
X360,2011.0,Simulation,Konami Digital Entertainment,0.7,43.0,3.3,Kalypso,T
X360,2011.0,Racing,Ubisoft,0.7,80.0,7.6,Ubisoft Reflections,T
GBA,2004.0,Adventure,Nintendo,0.7,73.0,7.5,Nintendo,E
GBA,2005.0,Platform,Disney Interactive Studios,0.7,71.0,7.5,Artificial Mind and Movement,E
PS3,2010.0,Shooter,Activision,0.7,65.0,7.4,Bizarre Creations,T
PSP,2007.0,Action,Konami Digital Entertainment,0.69,65.0,7.5,Kojima Productions,T
Wii,2009.0,Misc,Warner Bros. Interactive Entertainment,0.69,70.0,6.8,TT Fusion,E10+
XB,2005.0,Shooter,Microsoft Game Studios,0.69,89.0,7.4,Bungie Software,M
PS2,2005.0,Action,Midway Games,0.69,77.0,8.6,Midway Studios - Los Angeles,M
X360,2010.0,Sports,Ubisoft,0.69,40.0,4.4,Ubisoft Milan,T
PSP,2006.0,Racing,THQ,0.69,68.0,8.1,Rainbow Studios,E
GBA,2004.0,Misc,Nintendo,0.69,62.0,4.9,Fuse Games Limited,E
GC,2003.0,Fighting,Atari,0.69,65.0,6.3,Pyramid,T
XOne,2014.0,Shooter,Electronic Arts,0.69,76.0,7.4,PopCap,E10+
XOne,2013.0,Racing,Electronic Arts,0.69,75.0,5.8,Ghost Games,E10+
DS,2008.0,Simulation,Electronic Arts,0.69,50.0,3.3,Full Fat,E
GC,2002.0,Action,Electronic Arts,0.69,77.0,8.3,Eurocom Entertainment Software,E
PS3,2010.0,Action,Ubisoft,0.69,75.0,7.6,Ubisoft Montreal,T
GC,2003.0,Action,Electronic Arts,0.69,84.0,8.5,Hypnos Entertainment,T
PC,2011.0,Simulation,Electronic Arts,0.69,77.0,6.1,The Sims Studio,T
PS3,2011.0,Sports,Take-Two Interactive,0.69,82.0,7.7,2K Czech,E
PS2,2004.0,Role-Playing,Interplay,0.68,78.0,8.7,Black Isle Studios,T
GBA,2004.0,Action,Activision,0.68,63.0,9.0,Vicarious Visions,E
PS3,2009.0,Simulation,505 Games,0.68,81.0,7.3,Gaijin Entertainment,T
XB,2003.0,Sports,Electronic Arts,0.68,89.0,8.8,Electronic Arts,E
X360,2007.0,Racing,THQ,0.68,70.0,7.1,Rainbow Studios,E
X360,2008.0,Role-Playing,Square Enix,0.68,66.0,6.9,Square Enix,M
XB,2004.0,Sports,Electronic Arts,0.68,89.0,8.0,EA Sports,E
PS3,2010.0,Platform,Sony Computer Entertainment,0.68,85.0,8.8,Sanzaru Games,E10+
GC,2003.0,Fighting,Tomy Corporation,0.68,72.0,8.1,Tomy Corporation,T
PS4,2014.0,Shooter,505 Games,0.68,67.0,7.1,Rebellion,M
PS2,2005.0,Action,Ubisoft,0.68,85.0,8.5,Ubisoft Montreal,M
PSP,2007.0,Sports,Sony Computer Entertainment,0.68,82.0,8.6,Clap Hanz,E
PS,1998.0,Role-Playing,Konami Digital Entertainment,0.68,82.0,8.4,Konami,T
PS3,2008.0,Action,Sega,0.68,42.0,6.2,Secret Level,T
XB,2005.0,Sports,Electronic Arts,0.68,80.0,7.5,EA Canada,E
XB,2004.0,Fighting,Electronic Arts,0.68,85.0,8.7,EA Sports,T
PS2,2002.0,Role-Playing,Atari,0.68,76.0,8.9,CyberConnect2,T
XOne,2014.0,Shooter,Bethesda Softworks,0.68,79.0,7.8,MachineGames,M
DS,2007.0,Racing,THQ,0.68,69.0,6.8,Rainbow Studios,E
PSP,2010.0,Action,Warner Bros. Interactive Entertainment,0.68,71.0,7.5,TT Fusion,E10+
PS2,2004.0,Misc,Midway Games,0.68,74.0,7.5,Backbone Entertainment,M
Wii,2012.0,Action,Nintendo,0.67,82.0,8.8,HAL Labs,E10+
XB,2003.0,Shooter,Activision,0.67,84.0,8.8,Nerve Software,M
PC,2011.0,Role-Playing,Unknown,0.67,84.0,7.3,Trion Worlds,T
PS3,2007.0,Platform,Activision,0.67,60.0,7.0,Treyarch,T
PC,2008.0,Role-Playing,Electronic Arts,0.67,89.0,8.6,"BioWare, Demiurge Studios",M
XOne,2014.0,Action,Bethesda Softworks,0.67,79.0,7.3,Tango Gameworks,M
PS2,2002.0,Simulation,Metro 3D,0.67,74.0,9.0,From Software,T
XB,2005.0,Shooter,Activision,0.67,78.0,8.9,LucasArts,T
PS4,2014.0,Action,Warner Bros. Interactive Entertainment,0.67,71.0,7.1,TT Games,E10+
PS3,2008.0,Action,Touchstone,0.67,67.0,6.0,Propaganda Games,M
X360,2013.0,Action,505 Games,0.67,81.0,7.2,Engine Software,T
Wii,2006.0,Shooter,Ubisoft,0.67,63.0,6.8,Ubisoft Paris,T
PS3,2007.0,Shooter,Midway Games,0.67,86.0,7.7,Epic Games,M
DS,2010.0,Role-Playing,Nintendo,0.67,68.0,7.1,"RED Entertainment, Artdink",E
DS,2010.0,Simulation,Electronic Arts,0.67,73.0,6.4,Exient Entertainment,E
PS,1999.0,Simulation,Take-Two Interactive,0.66,69.0,7.5,Cunning Developments,E
XB,2004.0,Sports,Electronic Arts,0.66,81.0,8.8,EA Tiburon,E
DS,2007.0,Role-Playing,Square Enix,0.66,77.0,7.2,Square Enix,E10+
Wii,2009.0,Action,Activision,0.66,62.0,7.2,Now Production,E
PS3,2006.0,Simulation,Ubisoft,0.66,67.0,6.9,Ubisoft,T
PSP,2006.0,Fighting,THQ,0.66,78.0,8.1,Yuke's,T
PS4,2015.0,Racing,Codemasters,0.66,65.0,6.3,Codemasters,E
PS2,2007.0,Sports,Activision,0.66,65.0,6.6,Page 44 Studios,T
PS3,2007.0,Shooter,Take-Two Interactive,0.66,80.0,7.7,Starbreeze,M
PS2,2003.0,Sports,Sony Computer Entertainment,0.66,61.0,7.9,989 Sports,E
PS,2001.0,Role-Playing,Electronic Arts,0.66,58.0,8.3,Delphine Software International,T
PS2,2002.0,Sports,Electronic Arts,0.66,74.0,8.0,NuFX,E
XB,2003.0,Action,THQ,0.66,63.0,7.5,Traveller's Tales,E
PS2,2006.0,Strategy,Atari,0.66,69.0,2.9,Frontier Developments,E10+
GC,2005.0,Platform,Activision,0.66,70.0,7.5,Toys for Bob,E10+
X360,2010.0,Action,Konami Digital Entertainment,0.66,83.0,7.8,Mercury Steam,M
X360,2009.0,Sports,Electronic Arts,0.66,88.0,8.4,EA Canada,E10+
PS2,2004.0,Fighting,Capcom,0.66,78.0,8.7,Capcom,T
X360,2012.0,Sports,Electronic Arts,0.66,83.0,6.6,Electronic Arts,E10+
PC,2010.0,Strategy,Sega,0.66,81.0,7.9,Creative Assembly,T
WiiU,2013.0,Platform,Ubisoft,0.66,92.0,8.7,Ubisoft Montpellier,E10+
GC,2003.0,Simulation,Electronic Arts,0.66,81.0,9.0,Maxis,T
PC,2013.0,Shooter,Take-Two Interactive,0.66,94.0,8.5,Irrational Games,M
PSP,2007.0,Action,THQ,0.66,64.0,7.1,Locomotive Games,E
PS3,2012.0,Action,Warner Bros. Interactive Entertainment,0.66,67.0,7.1,Grasshopper Manufacture,M
PS3,2008.0,Strategy,Ubisoft,0.66,76.0,6.6,Ubisoft Shanghai,T
GBA,2002.0,Action,TDK Mediactive,0.66,71.0,7.4,TOSE,E
PS2,2004.0,Role-Playing,Konami Digital Entertainment,0.66,63.0,7.3,KCET,T
PSP,2010.0,Action,Namco Bandai Games,0.66,71.0,7.9,"Shift, Bandai Namco Games",T
PS3,2010.0,Action,Ubisoft Annecy,0.66,60.0,6.9,"Koei, Omega Force",M
GBA,2004.0,Platform,Disney Interactive Studios,0.66,77.0,7.5,Artificial Mind and Movement,E
PS3,2013.0,Action,Namco Bandai Games,0.66,71.0,7.8,Omega Force,T
XB,2005.0,Shooter,Ubisoft,0.66,88.0,8.0,Gearbox Software,M
XOne,2015.0,Action,Warner Bros. Interactive Entertainment,0.65,70.0,6.7,TT Games,E10+
PS2,2008.0,Action,Activision,0.65,73.0,8.6,Xpec,E10+
PSV,2014.0,Role-Playing,Sony Computer Entertainment,0.65,73.0,8.3,"Dimps Corporation, SCE Japan Studio",T
PS3,2008.0,Sports,Ubisoft,0.65,63.0,6.3,Ubisoft Montreal,T
PS2,2005.0,Role-Playing,Square Enix,0.65,74.0,9.0,Tri-Ace,T
GC,2003.0,Racing,Nintendo,0.65,89.0,8.5,Amusement Vision,T
PS2,2005.0,Platform,Disney Interactive Studios,0.65,60.0,8.9,Avalanche Software,E10+
X360,2008.0,Misc,Microsoft Game Studios,0.65,76.0,7.4,"Krome Studios, Screenlife Games",T
GBA,2004.0,Platform,Nintendo,0.65,60.0,6.6,Artoon,E
PS2,2002.0,Racing,Ubisoft,0.65,47.0,6.0,Ubisoft,T
PS3,2008.0,Sports,Electronic Arts,0.65,82.0,7.2,EA Tiburon,E
PSV,2012.0,Fighting,Warner Bros. Interactive Entertainment,0.65,85.0,7.8,NetherRealm Studios,M
X360,2008.0,Sports,Electronic Arts,0.65,84.0,7.8,EA Tiburon,E
GBA,2003.0,Strategy,Nintendo,0.65,89.0,9.4,Intelligent Systems,E
DS,2007.0,Platform,Nintendo,0.65,60.0,7.4,Suzak,E10+
Wii,2011.0,Role-Playing,Nintendo,0.65,80.0,8.4,"Mistwalker, Artoon",T
PS2,2003.0,Role-Playing,Square Enix,0.65,63.0,9.1,Cavia Inc.,M
PS2,2005.0,Role-Playing,Sony Online Entertainment,0.65,77.0,8.8,Snowblind Studios,T
PS2,2005.0,Action,Electronic Arts,0.65,68.0,6.7,Electronic Arts,E10+
PSP,2007.0,Racing,THQ,0.65,59.0,7.5,Rainbow Studios,E
X360,2009.0,Sports,Electronic Arts,0.65,80.0,6.9,EA Tiburon,E
Wii,2008.0,Action,Activision,0.65,54.0,7.5,Treyarch,T
PSP,2008.0,Platform,THQ,0.65,64.0,7.5,Heavy Iron Studios,E
PC,2016.0,Simulation,Focus Home Interactive,0.65,64.0,8.0,Giants Software,E
PSV,2014.0,Shooter,Take-Two Interactive,0.64,64.0,7.6,Iron Galaxy Studios,M
GBA,2004.0,Platform,Vivendi Games,0.64,67.0,6.6,Vicarious Visions,E
PC,2013.0,Action,Ubisoft,0.64,84.0,7.7,Ubisoft,M
Wii,2008.0,Racing,Electronic Arts,0.64,54.0,6.2,Exient Entertainment,T
PS2,2004.0,Platform,Vivendi Games,0.64,60.0,8.0,Eurocom Entertainment Software,E
PS2,2004.0,Platform,Vivendi Games,0.64,64.0,8.0,Traveller's Tales,E
WiiU,2014.0,Action,Warner Bros. Interactive Entertainment,0.64,68.0,7.7,TT Games,E10+
XB,2003.0,Shooter,Take-Two Interactive,0.64,84.0,8.4,Remedy Entertainment,M
DS,2009.0,Puzzle,THQ,0.64,72.0,7.7,5TH Cell,E
PS2,2004.0,Shooter,Electronic Arts,0.64,60.0,7.0,EA LA,T
X360,2014.0,Sports,Take-Two Interactive,0.64,50.0,4.0,Yuke's,T
PSP,2007.0,Role-Playing,Square Enix,0.64,74.0,7.4,TOSE,T
XB,2004.0,Shooter,Electronic Arts,0.64,83.0,7.4,EA Redwood Shores,T
PS2,2003.0,Platform,Activision,0.64,58.0,7.2,GenePool,T
XB,2005.0,Sports,Electronic Arts,0.64,79.0,6.4,EA Canada,E
3DS,2011.0,Platform,Ubisoft,0.64,61.0,6.6,Ubisoft Casablanca,E
PC,2013.0,Sports,Sega,0.64,85.0,5.5,Sports Interactive,E
XB,2002.0,Shooter,Eidos Interactive,0.64,88.0,7.7,Free Radical Design,T
PS2,2006.0,Action,Capcom,0.64,81.0,8.9,Capcom,M
PS3,2010.0,Action,Capcom,0.64,61.0,7.9,Capcom,T
X360,2007.0,Racing,THQ,0.64,75.0,7.3,Paradigm Entertainment,T
Wii,2009.0,Action,Rondomedia,0.64,67.0,8.2,Epicenter Studios,E10+
PS4,2016.0,Action,Bethesda Softworks,0.64,88.0,7.7,Arkane Studios,M
GBA,2002.0,Misc,Konami Digital Entertainment,0.64,78.0,7.5,KCEA,E
XOne,2014.0,Racing,Ubisoft,0.64,64.0,5.9,"Ubisoft Reflections, Ivory Tower",T
X360,2010.0,Fighting,Namco Bandai Games,0.64,57.0,7.4,Spike,T
PS3,2012.0,Sports,Electronic Arts,0.64,84.0,6.8,Electronic Arts,E10+
PS3,2012.0,Fighting,Tecmo Koei,0.64,74.0,7.7,Team Ninja,M
XOne,2015.0,Shooter,Take-Two Interactive,0.64,74.0,5.1,Turtle Rock Studios,M
PS2,2004.0,Platform,Activision,0.64,63.0,5.7,Adrenium,E
PS3,2008.0,Shooter,Capcom,0.64,67.0,7.0,Capcom,T
PS2,2005.0,Role-Playing,Activision,0.63,82.0,7.3,Raven Software,T
PS2,2009.0,Misc,Sony Computer Entertainment,0.63,73.0,7.5,SCEE London Studio,T
X360,2006.0,Action,LucasArts,0.63,81.0,8.0,Traveller's Tales,E10+
Wii,2010.0,Misc,MTV Games,0.63,91.0,6.9,Backbone Entertainment,T
PC,2011.0,Action,Electronic Arts,0.63,82.0,4.5,BioWare,M
XB,2001.0,Sports,Activision,0.63,78.0,8.8,Treyarch,T
PS3,2007.0,Sports,Electronic Arts,0.63,73.0,6.8,EA Canada,E
XB,2002.0,Sports,Electronic Arts,0.63,88.0,7.7,EA Canada,E
X360,2009.0,Action,Electronic Arts,0.63,55.0,7.0,Pandemic Studios,T
PC,2014.0,Shooter,Ubisoft,0.63,80.0,6.7,Ubisoft Montreal,M
PS2,2005.0,Racing,Electronic Arts,0.63,78.0,7.7,EA Sports,E
PSP,2008.0,Action,Sega,0.63,44.0,6.5,Artificial Mind and Movement,T
PS3,2010.0,Role-Playing,Sony Computer Entertainment,0.63,60.0,7.1,Level 5,T
X360,2007.0,Racing,THQ,0.63,68.0,7.6,Juice Games,T
PS3,2009.0,Shooter,Activision,0.63,71.0,7.4,"id Software, Raven Software",M
X360,2013.0,Shooter,Activision,0.63,32.0,4.0,Terminal Reality,M
PC,2011.0,Simulation,Electronic Arts,0.63,70.0,3.6,The Sims Studio,T
PS2,2002.0,Platform,Sony Computer Entertainment,0.63,82.0,8.4,SCE Japan Studio,E
PS3,2007.0,Racing,Sega,0.63,75.0,7.0,SEGA Racing Studio,E
PS2,2007.0,Role-Playing,Tecmo Koei,0.63,89.0,8.3,Atlus Co.,M
PS2,2001.0,Sports,Electronic Arts,0.63,82.0,5.8,EA Sports,E
3DS,2012.0,Action,Activision,0.63,62.0,4.6,Exient Entertainment,E
X360,2008.0,Action,Sega,0.63,80.0,8.4,Monolith Productions,M
PS2,2006.0,Action,Capcom,0.63,93.0,9.3,Clover Studio,T
PSP,2009.0,Role-Playing,Ghostlight,0.63,89.0,8.3,Atlus,M
PS,2000.0,Sports,Electronic Arts,0.63,88.0,7.7,Page 44 Studios,E
PC,2013.0,Shooter,Electronic Arts,0.63,76.0,6.5,Crytek,M
PS,2000.0,Platform,Activision,0.63,54.0,5.3,Traveller's Tales,E
PS4,2015.0,Sports,Electronic Arts,0.63,78.0,5.5,"EA Sports, EA Canada",E10+
GC,2002.0,Misc,Namco Bandai Games,0.63,62.0,7.5,Mass Media,E
PS3,2006.0,Sports,Activision,0.63,76.0,7.2,Neversoft Entertainment,T
X360,2009.0,Action,Atari,0.63,79.0,8.5,Terminal Reality,T
X360,2012.0,Strategy,Take-Two Interactive,0.62,90.0,8.3,Firaxis Games,M
XB,2005.0,Sports,Activision,0.62,77.0,7.7,Neversoft Entertainment,T
PS2,2002.0,Role-Playing,Ubisoft,0.62,78.0,8.4,"Media Vision, Contrail",T
GC,2006.0,Sports,Electronic Arts,0.62,82.0,9.2,EA Tiburon,E
XB,2003.0,Sports,Electronic Arts,0.62,89.0,8.2,EA Sports,E
PS2,2004.0,Platform,THQ,0.62,71.0,8.0,Avalanche Software,E
PS3,2011.0,Misc,Ubisoft,0.62,75.0,6.0,Ubisoft,E10+
3DS,2011.0,Action,Disney Interactive Studios,0.62,71.0,7.3,Traveller's Tales,E10+
Wii,2007.0,Racing,Nintendo,0.62,46.0,6.8,Paon Corporation,E
GC,2003.0,Action,Capcom,0.62,93.0,8.3,Clover Studio,T
GBA,2004.0,Simulation,Electronic Arts,0.62,72.0,9.2,Griptonite Games,E
PS3,2009.0,Misc,Activision,0.62,86.0,8.0,Neversoft Entertainment,T
PS2,2004.0,Sports,Play It,0.62,48.0,6.8,Lab Rats Games,E
Wii,2010.0,Shooter,Ubisoft,0.62,80.0,8.6,Ubisoft Paris,T
PS2,2004.0,Racing,Eidos Interactive,0.62,68.0,8.6,Acclaim Studios Cheltenham,T
XOne,2016.0,Action,Take-Two Interactive,0.62,67.0,4.6,Hangar 13,M
X360,2010.0,Action,Ubisoft,0.62,74.0,7.8,Ubisoft Montreal,T
PS3,2011.0,Action,Ubisoft Annecy,0.62,70.0,7.9,Omega Force,T
Wii,2010.0,Misc,Activision,0.62,88.0,7.5,FreeStyleGames,T
X360,2011.0,Sports,Electronic Arts,0.62,80.0,6.1,Electronic Arts,E
X360,2008.0,Platform,THQ,0.62,50.0,6.3,Heavy Iron Studios,E
DS,2009.0,Action,Electronic Arts,0.61,48.0,4.3,EA Bright Light,E
PS3,2010.0,Role-Playing,Square Enix,0.61,68.0,8.4,Cavia Inc.,M
PS3,2014.0,Sports,Electronic Arts,0.61,73.0,4.3,EA Canada,E
PS3,2008.0,Sports,Take-Two Interactive,0.61,82.0,7.0,Visual Concepts,E
XB,2002.0,Sports,Microsoft Game Studios,0.61,72.0,8.6,Microsoft Game Studios,E
